keyword,bold
research and development,1
R&D,1
product development,1
"research, development",1
"research, engineering, and development",1
research and product development,1
research development,
research project,0
research and evaluation project,0
research program,0
research collaboration,0
research facility,0
research facilities,
research initiative,0
research venture,0
research center,0
conduct research,0
new technology,0
joint research,0
develop technolog,0
entering development,0
developing new products,0
research operations,0
research pipeline,0
product engineering,0
technology development,0
technical development,0
technology milestone,0
technology breakthrough,
technological breakthrough,0
breakthrough innovation,0
clinical candidate,0
product candidate,0
drug candidate,0
breakthrough in,0
developing new technologies,0
develop of proprietary technology,0
established a collaboration,0
projects in development,0
completion of key milestones,0
continuing development of,0
preclinical development,0
preclinical data,0
evaluating the  potential of,0
clinical data,0
clinical development,0
clinical program,0
clinical study,0
safety study,0
pilot study,0
announced a collaboration,0
joint venture to develop,0
collaborative initiative,0
research collaborative,0
research collaboration,0
collaborative research,0
new patent,0
applied for patent,0
claims in this patent,0
filed patent,0
granted a patent,0
issued a patent,0
received a patent,0
patent was awarded,0
key patent,0
important patent,0
patent pending,0
applications pending,0
