title,sentiment
셀트리온 410억 규모 램시마IV 등 공급계약 체결,1
한진 印尼 자카르타 사무소 법인 전환 동남아 물류영업 강화,1
CJ제일제당 스팸 누적 판매량 19억개 돌파,1
HSD엔진 삼성중공업과 600억원 규모 선박 엔진 공급계약 체결,1
"DL건설, 2년 연속 신용등급 'A-' 취득",0
포항시장 포스코홀딩스 서울 설립 반대 1인시위 시 포스코 관계 급속 냉각,-1
두산 SMR 수소터빈 등 차세대 에너지에 5조 투자,1
신라젠 SJ 600 전임상 연구 논문 美면역항암학회 학술지 채택,1
BNK경남은행 횡령 막을 기회 놓쳤다,-1
포스코 비용절감 품질향상 등 中企 성장 뒷받침,-1
에스씨엠생명과학 315억 주주배정 유상증자,0
에코프로 605억 규모 CB 직접 취득해 소각 주가 6 대 상승,0
PF보증 부담 커진 태영건설 신용등급 A 강등,-1
삼성전자 D램 낸드 내장형 M램 출하 28나노 FD SOI 공정 적용,1
미국 산업용 변압기 3대 중 1대는 교체 대상 HD현대 LS 효성 수주 각축전,0
태광 시민단체 이호진 전 회장 지시 증거 있다 vs 없다 공방,0
만년 3위 LGU 의 반란 2위 KT에 0 5 P 맹추격,-1
강스템바이오텍 CDMO 사업 확장 세포유전자치료제로 다변화 박차,1
현대미포조선 2375억 규모 P C선 4척 수주 계약,1
AI컴퍼니 속도내는 SKT 지분투자 코난테크와 A 고도화,1
태광 이호진 회장 업무상 배임 및 횡령 혐의 자택 계열사 압수수색,-1
동부건설 1020억 규모 2차전지 생산시설 건립공사 수주,1
SK온 배터리 소재 공급망 강화 에코프로와 전구체 공장 세운다,0
대보마그네틱 최대주주 지분매각 추진 보도 사실아냐,0
AI 노트북 시대 개막…삼성-LG ‘격돌’,0
코오롱글로벌 1250억 규모 채무보증 결정,1
LG전자 美프리미엄 가전시장 공략,1
강스템바이오텍 작년 영업손실 203억 적자 지속,-1
LGD 웰컴 투 삼성 대형 OLED 속내는,0
위메이드 미르M 글로벌 CBT 성료,-1
현대차 日 승용차 시장 다시 도전장 아이오닉5 등 친환경차 중심 공략,1
"'대장동 의혹’ 이재명·정진상 공판, '인보사 의혹' 코오롱생명과학 임원 2심 선고 [이주의 재판일정]",0
네오위즈 국내 콘솔 게임시장 리더로 우뚝 설까 P의 거짓 기대감 상승,-1
휴젤 보툴렉스 유럽 품목허가 승인 권고,0
KT 미래먹거리 5년간 27조원 투자,-1
네이버 카페 서비스 한때 접속 오류 원인 조사 중,0
